image_name,mask_name,valid_rows,mean_width,max_width,min_width,std_width,mean_abs_center_residual,max_abs_center_residual
img_0002.png,img_0002_pred_mask.png,511,8.362034797668457,11.0,5.0,1.1804203987121582,3.8592116832733154,7.355560302734375
img_0004.png,img_0004_pred_mask.png,230,5.843478202819824,7.0,3.0,0.9286858439445496,2.97750186920166,6.764373779296875
img_0007.png,img_0007_pred_mask.png,111,15.846846580505371,29.0,3.0,5.762879371643066,12.590534210205078,23.220962524414062
img_0015.png,img_0015_pred_mask.png,511,7.093933582305908,9.0,3.0,0.6279391646385193,1.9128772020339966,4.2615966796875
img_0016.png,img_0016_pred_mask.png,415,5.481927871704102,8.0,3.0,0.7878817915916443,2.483299493789673,5.118958473205566
img_0020.png,img_0020_pred_mask.png,422,4.537914752960205,14.0,3.0,1.530800223350525,3.302008628845215,6.26239013671875
img_0021.png,img_0021_pred_mask.png,277,7.2490973472595215,9.0,5.0,0.6845701336860657,2.8797287940979004,5.310821533203125
img_0025.png,img_0025_pred_mask.png,202,14.777227401733398,24.0,3.0,4.504659652709961,7.181009769439697,14.01605224609375
img_0027.png,img_0027_pred_mask.png,352,4.636363506317139,6.0,4.0,0.5525112152099609,1.6267527341842651,3.514007568359375
img_0035.png,img_0035_pred_mask.png,88,31.784090042114258,83.0,4.0,16.001739501953125,23.690210342407227,44.78564453125
img_0041.png,img_0041_pred_mask.png,258,9.790698051452637,15.0,3.0,1.8179740905761719,5.74202823638916,15.959136962890625
img_0043.png,img_0043_pred_mask.png,319,12.344827651977539,15.0,4.0,1.3508025407791138,5.202232360839844,15.705583572387695
img_0046.png,img_0046_pred_mask.png,22,165.59091186523438,271.0,4.0,92.70071411132812,31.21235466003418,85.0731201171875
img_0054.png,img_0054_pred_mask.png,495,6.355555534362793,8.0,3.0,0.7211413383483887,2.7047183513641357,9.400123596191406
img_0066.png,img_0066_pred_mask.png,203,7.5615763664245605,10.0,4.0,1.2115622758865356,4.278101444244385,8.10418701171875
img_0069.png,img_0069_pred_mask.png,229,10.017467498779297,16.0,4.0,2.1776256561279297,7.554873943328857,15.58734130859375
img_0077.png,img_0077_pred_mask.png,440,6.836363792419434,9.0,4.0,0.8342364430427551,3.0728042125701904,7.46600341796875
img_0078.png,img_0078_pred_mask.png,369,9.897019386291504,14.0,3.0,1.450246810913086,4.277050495147705,14.371826171875
img_0082.png,img_0082_pred_mask.png,511,8.350293159484863,11.0,3.0,1.0433814525604248,3.0677154064178467,9.44671630859375
img_0083.png,img_0083_pred_mask.png,38,78.78947448730469,237.0,3.0,63.909950256347656,34.98862075805664,96.204345703125
img_0084.png,img_0084_pred_mask.png,487,7.71663236618042,10.0,3.0,1.0655086040496826,4.180809020996094,9.176788330078125
img_0089.png,img_0089_pred_mask.png,169,9.71597671508789,19.0,5.0,2.195162534713745,5.362087249755859,14.726852416992188
img_0090.png,img_0090_pred_mask.png,511,6.8708415031433105,9.0,4.0,0.8433874845504761,4.390890598297119,10.283721923828125
img_0093.png,img_0093_pred_mask.png,302,10.930463790893555,19.0,3.0,2.932767391204834,9.70385456085205,18.54827880859375
img_0095.png,img_0095_pred_mask.png,270,3.948148250579834,5.0,3.0,0.6361751556396484,4.304252624511719,11.58258056640625
img_0096.png,img_0096_pred_mask.png,481,6.218295097351074,10.0,3.0,1.1855673789978027,3.041077136993408,5.4779052734375
img_0098.png,img_0098_pred_mask.png,310,3.9225807189941406,5.0,3.0,0.6578114628791809,2.6722071170806885,8.044189453125
img_0109.png,img_0109_pred_mask.png,337,6.673590660095215,16.0,4.0,1.2983613014221191,2.2573506832122803,25.660919189453125
img_0112.png,img_0112_pred_mask.png,501,7.506986141204834,9.0,4.0,0.7303316593170166,3.1631197929382324,8.424056053161621
img_0124.png,img_0124_pred_mask.png,509,4.420432090759277,6.0,3.0,0.5980116128921509,4.2458271980285645,8.0595703125
img_0132.png,img_0132_pred_mask.png,47,24.36170196533203,86.0,6.0,17.461721420288086,21.849998474121094,45.39129638671875
img_0139.png,img_0139_pred_mask.png,203,7.197044372558594,10.0,4.0,0.8825573921203613,0.7615604400634766,2.44134521484375
img_0141.png,img_0141_pred_mask.png,266,4.281954765319824,6.0,3.0,0.7040521502494812,1.9259836673736572,3.9281005859375
img_0145.png,img_0145_pred_mask.png,510,5.807843208312988,7.0,4.0,0.5032612085342407,4.268991947174072,9.150604248046875
img_0154.png,img_0154_pred_mask.png,511,7.062622547149658,8.0,3.0,0.6881667971611023,4.948978900909424,11.816864013671875
img_0158.png,img_0158_pred_mask.png,182,11.835165023803711,18.0,3.0,4.076908111572266,7.739533424377441,15.267364501953125
img_0159.png,img_0159_pred_mask.png,229,7.279476165771484,10.0,4.0,0.9348039031028748,3.2844929695129395,8.80352783203125
img_0164.png,img_0164_pred_mask.png,84,27.047618865966797,82.0,6.0,19.418882369995117,26.315731048583984,46.39093017578125
img_0169.png,img_0169_pred_mask.png,54,38.72222137451172,116.0,4.0,29.784669876098633,12.944840431213379,37.350982666015625
img_0177.png,img_0177_pred_mask.png,452,6.092920303344727,8.0,3.0,0.8699727654457092,5.84348726272583,15.13092041015625
img_0183.png,img_0183_pred_mask.png,345,6.078260898590088,8.0,3.0,0.7892153263092041,3.7560875415802,12.600189208984375
img_0186.png,img_0186_pred_mask.png,67,17.895523071289062,60.0,4.0,14.721427917480469,6.0062713623046875,15.35190200805664
img_0198.png,img_0198_pred_mask.png,300,5.960000038146973,7.0,3.0,0.769241988658905,4.055331230163574,9.071533203125
img_0200.png,img_0200_pred_mask.png,264,8.378787994384766,11.0,3.0,1.0803359746932983,3.632478713989258,7.684478759765625
img_0202.png,img_0202_pred_mask.png,504,3.9206349849700928,5.0,3.0,0.6153225302696228,3.1073505878448486,5.761322021484375
